3.08,-0.218,26.2,-33.8
2.77,-0.158,25.6,-29.0
2.5,-0.072,24.9,-24.6
2.28,0.0328,24.3,-20.8
2.1,0.147,23.6,-17.7
1.94,0.262,23.0,-15.4
1.8,0.371,22.5,-13.7
1.67,0.46799999999999997,21.9,-12.5
1.54,0.552,21.3,-11.5
1.43,0.625,20.7,-10.6
1.33,0.69,20.2,-9.48
1.24,0.7509999999999999,19.6,-8.01
1.16,0.8140000000000001,19.1,-6.16
1.11,0.885,18.5,-3.98
1.07,0.972,18.0,-1.62
1.07,1.08,17.6,0.7170000000000001
1.09,1.21,17.1,2.83
1.13,1.36,16.7,4.56
1.2,1.53,16.3,5.82
1.27,1.7,16.0,6.65
1.35,1.88,15.6,7.18
1.42,2.05,15.2,7.62
1.49,2.22,14.8,8.16
1.56,2.39,14.5,8.97
1.64,2.58,14.1,10.1
1.74,2.8,13.8,11.5
1.86,3.04,13.5,13.0
2.01,3.32,13.2,14.5
2.18,3.63,13.0,15.9
2.36,3.96,12.8,17.1
2.54,4.3,12.5,18.1
2.72,4.65,12.3,19.2
2.9,5.02,12.1,20.3
3.1,5.42,11.9,21.8
3.32,5.86,11.8,23.6
3.57,6.34,11.6,25.8
3.85,6.87,11.6,28.4
4.15,7.45,11.5,31.5
4.49,8.08,11.6,34.8
4.86,8.75,11.6,38.6
5.26,9.48,11.8,42.6
5.7,10.3,12.0,46.9
6.18,11.1,12.3,51.3
6.72,12.0,12.8,55.7
7.3,13.0,13.3,60.0
7.92,14.0,14.0,63.8
8.58,15.0,14.9,67.1
9.27,16.0,15.8,69.6
9.98,17.0,17.0,71.3
10.7,17.9,18.3,72.0
11.4,18.7,19.8,71.6
12.1,19.4,21.4,70.1
12.8,19.9,23.2,67.2
13.5,20.1,25.1,62.8
14.1,20.1,27.2,56.8
14.6,19.9,29.2,49.0
15.0,19.3,31.3,39.3
15.4,18.4,33.3,27.9
15.6,17.2,35.2,14.9
15.7,15.7,36.8,0.6759999999999999
15.6,14.1,38.2,-14.2
15.4,12.3,39.3,-29.3
15.0,10.4,40.0,-43.8
14.5,8.5,40.3,-57.3
13.9,6.68,40.4,-69.2
13.1,4.98,40.1,-79.1
12.3,3.44,39.6,-86.7
11.4,2.09,38.9,-92.0
10.5,0.927,38.1,-94.8
9.51,-0.0373,37.1,-95.5
8.55,-0.816,36.1,-94.2
7.62,-1.42,35.0,-91.3
6.72,-1.88,33.9,-87.1
